time,type,amount,sender,balance_before,balance_after,receiver,isFraud
1,ISSUE,200,0,0,200,1107330,0
1,ISSUE,43515,0,0,43515,648460,1
1,TRADE,40056,648460,43515,3459,825187,1
1,REDEEM,2424,648460,3459,1035,0,1
1,ISSUE,59845,0,0,59845,726207,1
1,TRADE,54024,726207,59845,5821,726207,1
1,REDEEM,59738,726207,59845,107,0,1
1,ISSUE,8239,0,0,8239,792888,0
1,ISSUE,13388,0,40056,53444,825187,1
1,TRADE,44271,825187,53444,9173,648460,1
1,REDEEM,8056,825187,9173,1117,0,1
2,ISSUE,13516,0,0,13516,420222,0
2,ISSUE,200,0,0,200,713184,0
2,ISSUE,1072,0,0,1072,10804,0
2,ISSUE,2158,0,0,2158,412285,0
2,ISSUE,2027,0,0,2027,374355,0
2,ISSUE,200,0,0,200,337319,0
3,ISSUE,200,0,0,200,527692,0
3,ISSUE,8679,0,0,8679,921736,0
3,ISSUE,200,0,0,200,846592,0
3,ISSUE,200,0,0,200,31795,0
3,REDEEM,6315,420222,13516,7201,0,0
3,ISSUE,510,0,0,510,694769,0
3,TRADE,200,10804,1072,872,337319,0
4,ISSUE,200,0,200,400,31795,0
4,ISSUE,200,0,0,200,364533,0
4,REDEEM,200,10804,872,672,0,0
4,TRADE,200,420222,7201,7001,648460,0
4,ISSUE,1829,0,0,1829,576773,0
4,ISSUE,85211,0,107,85318,726207,1
4,TRADE,82992,726207,85318,2326,726207,1
4,REDEEM,66114,726207,85318,19204,0,1
4,ISSUE,48901,0,1117,50018,825187,1
4,TRADE,37383,825187,50018,12635,825187,1
4,REDEEM,45570,825187,50018,4448,0,1
4,ISSUE,200,0,0,200,612220,0
4,ISSUE,200,0,0,200,786675,0
4,ISSUE,7157,0,200,7357,846592,0
4,TRADE,200,921736,8679,8479,260109,0
4,TRADE,200,374355,2027,1827,1161539,0
5,ISSUE,11927,0,0,11927,998116,0
5,ISSUE,200,0,0,200,899253,0
5,TRADE,200,694769,510,310,371304,0
5,ISSUE,2544,0,0,2544,984337,0
5,TRADE,200,31795,400,200,732474,0
5,ISSUE,1966,0,0,1966,704250,0
5,ISSUE,200,0,0,200,329836,0
5,ISSUE,8654,0,0,8654,946726,0
5,ISSUE,16106,0,200,16306,1161539,0
5,ISSUE,17155,0,0,17155,586003,0
5,ISSUE,1431,0,0,1431,367681,0
6,TRADE,1147,946726,8654,7507,367681,0
6,TRADE,6984,998116,11927,4943,367681,0
6,TRADE,2517,1161539,16306,13789,42759,0
6,ISSUE,2910,0,0,2910,828493,0
6,ISSUE,10537,0,0,10537,861349,0
6,TRADE,200,337319,400,200,799431,0
6,ISSUE,457,0,1829,2286,576773,0
6,TRADE,200,10804,672,472,49436,0
6,TRADE,200,694769,310,110,680172,0
6,TRADE,15225,586003,17155,1930,262919,0
6,TRADE,200,367681,9562,9362,625587,0
6,TRADE,5998,420222,7001,1003,1154574,0
6,TRADE,4775,792888,8239,3464,68935,0
6,TRADE,200,984337,2544,2344,694769,0
7,TRADE,683,1161539,13789,13106,188834,0
7,ISSUE,3759,0,0,3759,698419,0
7,ISSUE,13401,0,0,13401,297133,0
7,TRADE,4446,921736,8479,4033,689551,0
7,ISSUE,21090,0,0,21090,788139,0
7,ISSUE,61005,0,45506,106511,648460,1
7,TRADE,93654,648460,106511,12857,825187,1
7,REDEEM,9196,648460,12857,3661,0,1
7,TRADE,200,1154574,5998,5798,366968,0
7,ISSUE,129202,0,98102,227304,825187,1
7,TRADE,186157,825187,227304,41147,648460,1
7,REDEEM,33874,825187,41147,7273,0,1
7,TRADE,200,946726,7507,7307,2658,0
7,TRADE,200,367681,9362,9162,316305,0
7,TRADE,200,984337,2344,2144,68935,0
7,TRADE,207,586003,1930,1723,825187,0
7,TRADE,200,792888,3464,3264,1161539,0
7,ISSUE,26235,0,19204,45439,726207,1
7,TRADE,33118,726207,45439,12321,726207,1
7,REDEEM,39716,726207,45439,5723,0,1
7,ISSUE,10098,0,2517,12615,42759,0
7,ISSUE,20267,0,10537,30804,861349,0
8,TRADE,200,921736,4033,3833,37837,0
8,ISSUE,2395,0,0,2395,510675,0
8,TRADE,200,412285,2158,1958,579604,0
8,TRADE,13070,788139,21090,8020,196302,0
8,TRADE,551,846592,7357,6806,1107330,0
8,TRADE,12843,1161539,13306,463,861349,0
8,TRADE,920,984337,2144,1224,1007410,0
8,TRADE,918,576773,2286,1368,49436,0
8,TRADE,518,262919,15225,14707,420222,0
8,TRADE,3349,367681,9162,5813,42759,0
8,TRADE,200,1154574,5798,5598,337319,0
8,ISSUE,200,0,683,883,188834,0
8,TRADE,7440,297133,13401,5961,726207,0
8,TRADE,3854,42759,15964,12110,355253,0
8,TRADE,200,586003,1723,1523,188834,0
8,ISSUE,9725,0,400,10125,337319,0
8,ISSUE,1803,0,0,1803,915852,0
8,ISSUE,200,0,200,400,799431,0
8,ISSUE,200,0,2910,3110,828493,0
8,ISSUE,7186,0,0,7186,875121,0
8,TRADE,4929,68935,4975,46,412285,0
9,TRADE,200,374355,1827,1627,54536,0
9,TRADE,200,337319,10125,9925,37837,0
9,TRADE,3761,42759,12110,8349,825187,0
9,REDEEM,200,828493,3110,2910,0,0
9,ISSUE,20506,0,4943,25449,998116,0
9,ISSUE,988,0,200,1188,371304,0
9,TRADE,861,689551,4446,3585,670580,0
9,TRADE,4282,297133,5961,1679,54536,0
9,ISSUE,200,0,3759,3959,698419,0
9,ISSUE,12386,0,0,12386,280481,0
9,TRADE,200,861349,43647,43447,468524,0
9,TRADE,5933,875121,7186,1253,374355,0
9,ISSUE,200,0,200,400,612220,0
10,TRADE,1859,367681,5813,3954,961119,0
10,TRADE,200,670580,861,661,54536,0
10,ISSUE,4074,0,400,4474,799431,0
10,ISSUE,24088,0,200,24288,732474,0
